ci_skipped,ns,nd,nf,entropy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,TFC,is_doc,is_build,is_meta,is_media,is_src,is_merge,FRM,COM,CFT,classif,prev_com_res,proj_recent_skip,comm_recent_skip,same_committer,is_fix,day_week,CM,commit_hash
0,3,3,4,1.434196365,23,9,790,52,0.006145833,2,1424,16.08114194,670.6666667,2,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,4,4.900069182,72c3bb853bc2f73abf3710b8bba963f8104abd5c
1,1,1,1,0,3,3,1978,50,0.000706019,1,1423,15.08114194,860,1,1,0,0,0,0,0,0,0,0,7,1,1,1,1,0,4,4.843967085,5472fbdbfd9d1671323080640250b89e9f4dd363
1,1,1,1,0,1,1,1978,50,0.001516204,1,1422,14.08114194,859,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4,3.001635534,3ce836dd5c336e30b5808f4ee53407802534e5bc
0,3,3,4,1.372660877,26,0,783.5,52,157.1254138,4,1421,13.08114194,669,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,4,4.333426513,5dcd481c35f7678847eb7a4cfc8fc139ed5e5be9
0,1,1,1,0,2,2,39,5,29.97642361,1,1420,13.66619137,857,1,0,0,1,0,0,0,0,0,0,5,0,1,1,1,0,3,3.481054239,2a1f344e7a8954ac4dbc24cb6d94227b9d7a4dc7
0,1,1,1,0,4,0,330,5,92.28041667,1,1419,13.34654466,437,1,0,0,0,0,1,0,0,0,0,1,0,2,2,1,0,4,4.81766468,f548fd8e3e7670e33be2ba904c929fbae90a8964
0,2,2,2,0.918295834,6,0,404,3,77.94578125,2,1418,14.69310779,783,2,0,0,0,0,0,0,0,0,1,2,1,2,2,1,1,5,4.82470147,610937f8c16f504e96418adedf192b0c98a09ce9
1,1,1,1,0,3,2,1100,37,84.62605324,1,1417,16.39341431,709,1,0,0,0,0,1,0,0,0,0,7,0,1,1,1,0,2,3.489941985,6e6e921314ce9f9af47719ff003373cebc9007a0
0,1,1,1,0,1,1,39,5,8.397395833,1,1416,15.4239239,855,1,0,0,1,0,0,0,0,0,0,5,0,1,1,1,0,2,2.965586787,ee58d7402afc7fa79c5038e78bf67f86b87a67e8
0,1,1,1,0,0,1,26,4,8.352997685,1,1415,14.42396089,854,1,0,0,0,0,0,0,0,0,0,5,1,2,2,1,0,1,5.673081124,86a6ee3f4d61726b6dd61f182080bc2f7334de16
